doctor_id,specialization,experience_years,performance_rating
D0000,Gastroenterology,9,1.39
D0001,Cardiology,36,2.38
D0002,Oncology,6,2.11
D0003,Gastroenterology,24,4.98
D0004,Pediatrics,26,4.43
D0005,Orthopedics,34,3.95
D0006,Oncology,1,4.67
D0007,Oncology,23,4.66
D0008,Gastroenterology,17,1.79
D0009,Urology,36,2.37
D0010,Pediatrics,37,1.19
D0011,Gastroenterology,20,2.23
D0012,Pediatrics,26,3.85
D0013,Pediatrics,11,3.85
D0014,Orthopedics,20,2.78
D0015,Oncology,1,1.67
D0016,Cardiology,13,1.18
D0017,Orthopedics,36,2
D0018,Orthopedics,38,1.33
D0019,Pediatrics,13,4.96
D0020,Neurology,14,1.59
D0021,Oncology,12,4.25
D0022,Urology,34,2.49
D0023,Orthopedics,27,3.48
D0024,Cardiology,12,3.15
D0025,Neurology,38,1.22
D0026,Neurology,36,4.63
D0027,Urology,1,4.6
D0028,Orthopedics,26,2.19
D0029,Cardiology,40,1.53
D0030,Oncology,40,1.41
D0031,Emergency,21,4.38
D0032,Cardiology,32,3.33
D0033,Urology,25,2.5
D0034,Neurology,12,2.36
D0035,Oncology,25,3.19
D0036,Cardiology,26,2.09
D0037,Emergency,36,1.08
D0038,Emergency,16,2.66
D0039,Pediatrics,14,4.5
D0040,Pediatrics,34,4.21
D0041,Gastroenterology,24,4.65
D0042,Urology,8,3.66
D0043,Orthopedics,27,1.2
D0044,Cardiology,39,2.87
D0045,Cardiology,13,1.08
D0046,Orthopedics,29,4.88
D0047,Gastroenterology,31,3.72
D0048,Neurology,19,1.06
D0049,Neurology,10,4.85
D0050,Gastroenterology,40,2.49
D0051,Neurology,34,1.6
D0052,Pediatrics,1,3.91
D0053,Cardiology,19,1.61
D0054,Gastroenterology,1,1.89
D0055,Cardiology,24,1.35
D0056,Orthopedics,25,3.81
D0057,Emergency,4,1.85
D0058,Pediatrics,24,4.26
D0059,Oncology,39,3.48
D0060,Pediatrics,20,2.56
D0061,Gastroenterology,33,4.89
D0062,Oncology,28,1.79
D0063,Emergency,35,4.05
D0064,Gastroenterology,24,1.61
D0065,Urology,40,1.89
D0066,Cardiology,2,1.51
D0067,Emergency,23,4.74
D0068,Cardiology,33,2.9
D0069,Neurology,14,4.35
D0070,Urology,15,1.22
D0071,Urology,32,3.34
D0072,Emergency,23,2.8
D0073,Urology,4,4.95
D0074,Oncology,20,4.17
D0075,Urology,31,4.71
D0076,Cardiology,7,2.9
D0077,Cardiology,1,4.24
D0078,Gastroenterology,5,1.83
D0079,Cardiology,14,3.81
D0080,Gastroenterology,30,4.88
D0081,Cardiology,38,3.44
D0082,Oncology,23,1.09
D0083,Orthopedics,7,2.38
D0084,Gastroenterology,39,3.38
D0085,Pediatrics,16,1.46
D0086,Neurology,9,2.61
D0087,Emergency,39,2.8
D0088,Cardiology,34,4.52
D0089,Urology,31,3.28
D0090,Orthopedics,7,3.19
D0091,Cardiology,2,2.46
D0092,Urology,6,2.54
D0093,Neurology,34,3.25
D0094,Neurology,17,1.65
D0095,Neurology,26,2.87
D0096,Urology,12,3.03
D0097,Cardiology,20,3.75
D0098,Neurology,35,3.38
D0099,Oncology,35,2.31
D0100,Gastroenterology,29,3.12
D0101,Urology,38,1.08
D0102,Urology,31,3.75
D0103,Cardiology,40,1.93
D0104,Urology,13,4.33
D0105,Urology,26,3.89
D0106,Neurology,22,1.64
D0107,Cardiology,8,2.29
D0108,Neurology,40,3.99
D0109,Gastroenterology,7,3.82
D0110,Orthopedics,5,3.15
D0111,Gastroenterology,1,2.18
D0112,Orthopedics,40,3.09
D0113,Neurology,11,4.97
D0114,Gastroenterology,32,2.61
D0115,Cardiology,7,3.1
D0116,Emergency,29,4.21
D0117,Neurology,30,1.11
D0118,Orthopedics,21,4.67
D0119,Oncology,39,4.39
D0120,Orthopedics,39,3.2
D0121,Oncology,20,3.14
D0122,Urology,22,4.65
D0123,Gastroenterology,29,3.82
D0124,Oncology,4,4.06
D0125,Orthopedics,3,1.92
D0126,Urology,9,1.04
D0127,Emergency,5,2.76
D0128,Cardiology,3,1.43
D0129,Cardiology,25,2.66
D0130,Cardiology,32,3.53
D0131,Oncology,33,3.42
D0132,Emergency,18,3.76
D0133,Oncology,36,1.57
D0134,Gastroenterology,29,1.97
D0135,Oncology,39,3.79
D0136,Emergency,2,1.74
D0137,Emergency,11,1.86
D0138,Gastroenterology,31,3.7
D0139,Emergency,4,3.91
D0140,Orthopedics,29,2.17
D0141,Emergency,3,4.49
D0142,Cardiology,2,4.34
D0143,Orthopedics,36,3.4
D0144,Orthopedics,14,4.31
D0145,Gastroenterology,4,4.91
D0146,Pediatrics,30,4.76
D0147,Pediatrics,19,1.51
D0148,Emergency,19,2.52
D0149,Orthopedics,31,3.89
D0150,Pediatrics,15,1.35
D0151,Pediatrics,29,1.55
D0152,Emergency,3,2.61
D0153,Pediatrics,19,1.02
D0154,Oncology,22,2.76
D0155,Urology,20,2.57
D0156,Gastroenterology,7,3.83
D0157,Urology,4,1.36
D0158,Emergency,1,2.77
D0159,Cardiology,7,4.85
D0160,Gastroenterology,22,4.51
D0161,Emergency,37,3.86
D0162,Orthopedics,30,4.91
D0163,Cardiology,9,1.37
D0164,Urology,27,2
D0165,Emergency,38,1.56
D0166,Orthopedics,23,4.05
D0167,Gastroenterology,12,4.43
D0168,Gastroenterology,13,3.56
D0169,Neurology,33,2.03
D0170,Orthopedics,15,1.49
D0171,Oncology,16,3.18
D0172,Pediatrics,34,1.59
D0173,Cardiology,9,1.65
D0174,Orthopedics,27,3.23
D0175,Neurology,15,1.39
D0176,Pediatrics,35,4.65
D0177,Pediatrics,34,1.82
